X.1,School,Type,Applied,Offers,school_clean,URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL,OFSTEDRATING,OFSTEDLASTINSP,lat,lng
40,Guildford High School,Independent,56,20,Guildford High School,125342.0,Surrey,936.0,6046.0,9366046.0,Guildford High School,London Road,,,Guildford,GU1 1SJ,Open,,,Independent school,Other independent school,1.0,1.0,1.0,4.0,19.0,Girls,Christian,Selective,,,51.2417148,-0.5641596999999999
41,Latymer Upper School,Independent,81,20,Latymer Upper School,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4927217,-0.2371536
42,Truro and Penwith College,State,82,20,Truro and Penwith College,130629.0,Cornwall,908.0,8005.0,9088005.0,Truro and Penwith College,College Road,,,Truro,TR1 3XX,Open,,,College,Further education,0.0,0.0,1.0,16.0,99.0,Mixed,Does not apply,Not applicable,Outstanding,26-02-2016,50.2630357,-5.1006316
43,The Latymer School,State,83,20,Latymer School,102055.0,Enfield,308.0,5400.0,3085400.0,The Latymer School,Haselbury Road,,,London,N9 9TN,Open,,,Maintained school,Voluntary aided school,0.0,1.0,1.0,11.0,18.0,Mixed,None,Selective,Good,25-03-2022,51.6255003,-0.0748657
44,Winchester College,Independent,91 ,20,Winchester College,116532.0,Hampshire,850.0,6037.0,8506037.0,Winchester College,College Street,,,Winchester,SO23 9NA,Open,,,Independent school,Other independent school,0.0,1.0,1.0,12.0,19.0,Boys,None,Selective,,,51.0583945,-1.3126553
45,The London Oratory School,State,55,19,London Oratory School,137157.0,Hammersmith and Fulham,205.0,5400.0,2055400.0,The London Oratory School,Seagrave Road,,,London,SW6 1RX,Open,,,Academy,Academy converter,1.0,1.0,1.0,7.0,18.0,Boys,Roman Catholic,Non-selective,,,51.4822041,-0.194296
46,King Edward VI Camp Hill School for Boys,State,65 ,19,King Edward VI Camp Hill School for Boys,137045.0,Birmingham,330.0,5407.0,3305407.0,King Edward VI Camp Hill School for Boys,Vicarage Road,Kings Heath,,Birmingham,B14 7QJ,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,Christian,Selective,,,52.4307253,-1.9037952
47,The Tiffin Girls School,State,71,19,Tiffin Girls School,136615.0,Kingston upon Thames,314.0,4010.0,3144010.0,The Tiffin Girls' School,Richmond Road,,,Kingston upon Thames,KT2 5PL,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Girls,None,Selective,Outstanding,14-10-2021,51.4251983,-0.3030517
48,Runshaw College,State,104,19,Runshaw College,130741.0,Lancashire,888.0,8016.0,8888016.0,Runshaw College,Langdale Road,,,Leyland,PR25 3DQ,Open,,,College,Further education,0.0,0.0,1.0,16.0,99.0,Mixed,Does not apply,Not applicable,Outstanding,22-05-2008,53.68086770000001,-2.6898688
49,Dulwich College,Independent ,116,19,Dulwich College,100861.0,Southwark,210.0,6000.0,2106000.0,Dulwich College,Dulwich Common,Dulwich,,London,SE21 7LD,Open,,,Independent school,Other independent school,1.0,1.0,1.0,0.0,19.0,Mixed,None,Not applicable,,,51.438894,-0.08554919999999999
50,Royal Grammar School Guildford,Independent,54,18,Royal Grammar School Guildford,125424.0,Surrey,936.0,6534.0,9366534.0,The Royal Grammar School Guildford,High Street,Guildford,,,GU1 3BB,Open,,,Independent school,Other independent school,1.0,1.0,1.0,3.0,18.0,Boys,Christian,Selective,,,51.2368108,-0.5693414
